last,name,affiliation,tex,account,data_preparation,feature_selection,learning_algorithm,model_selection,other
Porter,Kristin E. Porter,MDRC,"\item Kristin E. Porter, MDRC",mdrc,"Adding missingness indicators, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features, Constructing your own train/test split","Using prior expertise, Reading study documentation, Using constructed variables, Model-based feature selection (e.g. F-test or LASSO)","Logistic regression/logit, Random forest, Gradient-boosted trees, Ridge regression, LASSO, Elastic net, Data-based hyperparameter selection (e.g. cross validation), Kernel methods (e.g. kernel ridge regression or support vector machines), Ensembling",MSE performance in training set,
Qian,Crystal Qian,"Department of Computer Science, Princeton University, Princeton, NJ, 08544","\item Crystal Qian, Department of Computer Science, Princeton University, Princeton, NJ, 08544",cjqian,"Mean/median/mode imputation, Model-based imputation, One-hot encoding, Adding missingness indicators, Constructing your own train/test split",Model-based feature selection (e.g. F-test or LASSO),"Ridge regression, LASSO, Elastic net, Data-based hyperparameter selection (e.g. cross validation), Manual hyperparameter setting, Least angle regression","MSE performance in training set, MSE performance on leaderboard, Interpreting hyperparameters",
Rauf,Tamkinat Rauf,"Department of Sociology, Stanford University, Stanford, CA 94305, USA","\item Tamkinat Rauf, Department of Sociology, Stanford University, Stanford, CA 94305, USA",Tamkinat,"Mean/median/mode imputation, Imputation based on survey structure (e.g. skips)","Conducting a literature review, Using constructed variables","Linear regression/OLS, Logistic regression/logit","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients",
Rodriguez,"Maria Y. Rodriguez, PhD, MSW","SIlberman School of Social Work, Hunter College (CUNY) 2180 Third Ave New York, NY 10035","\item Maria Y. Rodriguez, PhD, MSW, SIlberman School of Social Work, Hunter College (CUNY) 2180 Third Ave New York, NY 10035",maria_yr,Mean/median/mode imputation,"Using prior expertise, Reading study documentation, Using constructed variables",Logistic regression/logit,"MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients",
Russell,Luke T. Russell,"Department of Family and Consumer Sciences, Illinois State University, Normal, IL 61790, USA.","\item Luke T. Russell, Department of Family and Consumer Sciences, Illinois State University, Normal, IL 61790, USA.",jeremykanter,"Dropping low-variance features, Maximum likelihood estimation","Using prior expertise, Reading study documentation, Conducting a literature review, Using constructed variables",Linear regression/OLS,Inspecting regression coefficients,
Sargsyan,Anahit Sargsyan,"New York University, Abu Dhabi, UAE","\item Anahit Sargsyan, New York University, Abu Dhabi, UAE",Anahit_Sargsyan,"Model-based imputation, Adding missingness indicators, Dropping low-variance features, kNN (k-Nearest Neighbors) imputation algorithm","Model-based feature selection (e.g. F-test or LASSO), Extra Trees Regressor algorithm, Randomized Lasso","Linear regression/OLS, Logistic regression/logit, Decision tree, Random forest","MSE performance in training set, MSE performance on leaderboard, Assessing groups/clusters of features",
Schaffner,Thomas Schaffner,"Independent* (work was done while at the ""Department of Computer Science, Princeton University, Princeton, NJ 08540, USA"")","\item Thomas Schaffner, Independent* (work was done while at the ""Department of Computer Science, Princeton University, Princeton, NJ 08540, USA"")",t.f.schaffner,"Mean/median/mode imputation, Dropping low-variance features","Mutual information, Model-based feature selection (e.g. F-test or LASSO)","Linear regression/OLS, Decision tree, Random forest, LASSO, Data-based hyperparameter selection (e.g. cross validation), Support Vector Regression, Bernoulli Naive Bayes, Multinomial Naive Bayes,  K-Nearest Neighbors","MSE performance in training set, MSE performance on leaderboard, R^2, precision/accuracy/f1-score performance in cross-validation within the training set",
Schnabel,Landon Schnabel,"Stanford University, Stanford, CA, 94305, USA","\item Landon Schnabel, Stanford University, Stanford, CA, 94305, USA",lpschnab,"Mean/median/mode imputation, Imputation based on survey structure (e.g. skips), Variable standardization/rescaling, Adding missingness indicators, Inferring feature types (e.g. categorical or continuous)","Using prior expertise, Reading study documentation, Using constructed variables",Linear regression/OLS,"MSE performance in training set, Inspecting regression coefficients","This isn't about other methodological choices, but I wanted to note somewhere that I submitted individual predictions (under username lpschnab) and was also a part of a group (IU_Sociology). My descriptions refer to my individual submission."
Schonfeld,Bryan Schonfeld,"Department of Politics, Princeton University, Princeton, NJ 08544, USA.","\item Bryan Schonfeld, Department of Politics, Princeton University, Princeton, NJ 08544, USA.",signoret,Constructing your own train/test split,"Conducting a literature review, Model-based feature selection (e.g. F-test or LASSO)","Linear regression/OLS, Logistic regression/logit",MSE performance in training set,
Sender,Ben Sender,"Department of Economics, Princeton University, Princeton, NJ, 08544, USA","\item Ben Sender, Department of Economics, Princeton University, Princeton, NJ, 08544, USA",sender,"Mean/median/mode imputation, Model-based imputation, Variable standardization/rescaling, Inferring feature types (e.g. categorical or continuous), Constructing your own train/test split",Model-based feature selection (e.g. F-test or LASSO),"Linear regression/OLS, Logistic regression/logit, Random forest, Ridge regression, LASSO, Neural networks",MSE performance on leaderboard,
Stanescu,Diana M. Stanescu,"Department of Politics, Princeton University, Princeton, NJ, 08544, USA","\item Diana M. Stanescu, Department of Politics, Princeton University, Princeton, NJ, 08544, USA",haixiaow,"Mean/median/mode imputation, Model-based imputation, Variable standardization/rescaling, Dropping low-variance features","Reading study documentation, Leveraging time structure and repeated measures (e.g. lagged DVs), Mutual information, Model-based feature selection (e.g. F-test or LASSO)","Linear regression/OLS, Logistic regression/logit, Ridge regression, LASSO, Elastic net","MSE performance in training set, MSE performance on leaderboard",See Erik (Haixiao) Wang's submission
Su-Russell,Chang Su-Russell,"Department of Family and Consumer Sciences, Illinois State University, Normal, IL 61790, USA","\item Chang Su-Russell, Department of Family and Consumer Sciences, Illinois State University, Normal, IL 61790, USA",jeremykanter,"Dropping low-variance features, Maximum likelihood estimation","Using prior expertise, Reading study documentation, Conducting a literature review, Using constructed variables",Linear regression/OLS,Inspecting regression coefficients,
Tang,Jonathan D. Tang,"Department of Computer Science, Princeton University, Princeton, NJ 08544, USA","\item Jonathan D. Tang, Department of Computer Science, Princeton University, Princeton, NJ 08544, USA",cjqian,"Imputation based on survey structure (e.g. skips), Adding missingness indicators, Dropping low-variance features",Model-based feature selection (e.g. F-test or LASSO),"Linear regression/OLS, Ridge regression, LASSO, Elastic net, Lasso + Least Angle Regression","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients, Interpreting hyperparameters",Imputing the labeled data and using the output as additional training data; using k-folds to evaluate the performance of different configurations
Tsurkov,Emma Tsurkov,Stanford University,"\item Emma Tsurkov, Stanford University",ETsurkov,Adding missingness indicators,Using prior expertise,Logistic regression/logit,"Inspecting regression coefficients, Measures of variable importance (e.g. marginal effects)",
Turunç,Gamze Turunç,"Department of Psychology, Koc University, _stanbul, Turkey ","\item Gamze Turunç, Department of Psychology, Koc University, _stanbul, Turkey ",gturunc16,"Model-based imputation, Variable standardization/rescaling, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features","Using prior expertise, Reading study documentation, Using constructed variables","Linear regression/OLS, Logistic regression/logit",Inspecting regression coefficients,
TÙzÙn,GÙlnihal TÙzÙn,"Department of Economics, Koç University, Sariyer, _stanbul/TURKEY","\item GÙlnihal TÙzÙn, Department of Economics, Koç University, Sariyer, _stanbul/TURKEY",gulnihaltuzun,"Mean/median/mode imputation, Variable standardization/rescaling, Inferring feature types (e.g. categorical or continuous)","Using prior expertise, Reading study documentation, Conducting a literature review","Linear regression/OLS, Logistic regression/logit","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients, Interpreting hyperparameters",-
van Loon,Austin van Loon,"Department of Sociology, Stanford University, Stanford, CA 94305, USA ","\item Austin van Loon, Department of Sociology, Stanford University, Stanford, CA 94305, USA ",Alpaca_CultureAsAWoolkit,"Variable standardization/rescaling, One-hot encoding, Inferring feature types (e.g. categorical or continuous)","Using prior expertise, Using constructed variables","Linear regression/OLS, Logistic regression/logit","Inspecting regression coefficients, R-squared and psuedo R-squared",
Varol,Onur Varol,"Center for Complex Network Research in Northeastern University Networks Science Institute, Boston MA USA","\item Onur Varol, Center for Complex Network Research in Northeastern University Networks Science Institute, Boston MA USA",ovarol,"Model-based imputation, Imputation based on survey structure (e.g. skips), Adding missingness indicators, Constructing your own train/test split","Reading study documentation, Conducting a literature review, Leveraging time structure and repeated measures (e.g. lagged DVs)","Random forest, Data-based hyperparameter selection (e.g. cross validation), Ensembling","MSE performance in training set, MSE performance on leaderboard, Measures of variable importance (e.g. marginal effects)",
Ver Steeg,Greg Ver Steeg,"Information Sciences Institute, University of Southern California, Marina del Rey, CA 90292","\item Greg Ver Steeg, Information Sciences Institute, University of Southern California, Marina del Rey, CA 90292",ryanjgallag,"Mean/median/mode imputation, Variable standardization/rescaling, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features, Constructing your own train/test split","Reading study documentation, Mutual information, Model-based feature selection (e.g. F-test or LASSO)","Logistic regression/logit, LASSO, CorEx (Ver Steeg & Galstyan, 2014)","MSE performance in training set, Assessing groups/clusters of features",
Wang,Xiafei Wang,"School of Social Work, David B. Falk College of Sport and Human Dynamics, Syracuse University, NY, 13244","\item Xiafei Wang, School of Social Work, David B. Falk College of Sport and Human Dynamics, Syracuse University, NY, 13244",aprilfeifei,Mean/median/mode imputation,Model-based feature selection (e.g. F-test or LASSO),LASSO,"MSE performance in training set, Inspecting regression coefficients, Measures of variable importance (e.g. marginal effects)",
Wang,Zhi Wang,"School of Public Health/ School of Informatics, Computing & Engineering, Indiana University, Bloomington, IN 47408, USA","\item Zhi Wang, School of Public Health/ School of Informatics, Computing & Engineering, Indiana University, Bloomington, IN 47408, USA",IU_Sociology,"Mean/median/mode imputation, Variable standardization/rescaling, One-hot encoding, Adding missingness indicators, Inferring feature types (e.g. categorical or continuous), Constructing your own train/test split","Using prior expertise, Reading study documentation, Conducting a literature review, Using constructed variables, Model-based feature selection (e.g. F-test or LASSO), Excluded 'constructed scales' with more than 30% missing values","Random forest, Data-based hyperparameter selection (e.g. cross validation)","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients, Interpreting hyperparameters",
Wang,Julia Wang,Princeton '17,"\item Julia Wang, Princeton '17",kouyang,"Mean/median/mode imputation, One-hot encoding, Inferring feature types (e.g. categorical or continuous), Using multiple analytic datasets to generate predictions, Constructing your own train/test split","Using prior expertise, Reading study documentation, Mutual information, Model-based feature selection (e.g. F-test or LASSO)","Linear regression/OLS, Ridge regression, LASSO, Elastic net, Data-based hyperparameter selection (e.g. cross validation), Kernel methods (e.g. kernel ridge regression or support vector machines)","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients, Assessing groups/clusters of features",
Wang,Flora Wang,"Princeton University, Princeton, NJ 08544, USA","\item Flora Wang, Princeton University, Princeton, NJ 08544, USA",fw,"Mean/median/mode imputation, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features","Reading study documentation, Model-based feature selection (e.g. F-test or LASSO)","Logistic regression/logit, Ridge regression, LASSO, Elastic net, Data-based hyperparameter selection (e.g. cross validation)","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients",
Weissman,Samantha Weissman,"Department of Computer Science, Princeton University, Princeton, NJ 08544, USA","\item Samantha Weissman, Department of Computer Science, Princeton University, Princeton, NJ 08544, USA",samantha_malte,"Mean/median/mode imputation, Imputation based on survey structure (e.g. skips), Variable standardization/rescaling, Dropping low-variance features",Model-based feature selection (e.g. F-test or LASSO),"Linear regression/OLS, Decision tree, Random forest, Kernel methods (e.g. kernel ridge regression or support vector machines)","MSE performance in training set, MSE performance on leaderboard, Interpreting hyperparameters",
Whitaker,Kirstie Whitaker,"The Alan Turing Institute, London, UK; Department of Psychiatry, University of Cambridge, Cambridge, UK","\item Kirstie Whitaker, The Alan Turing Institute, London, UK; Department of Psychiatry, University of Cambridge, Cambridge, UK",bz247,Information provided by team member Bingyu Zhao,Information provided by team member Bingyu Zhao,Information provided by team member Bingyu Zhao,Information provided by team member Bingyu Zhao,Information provided by team member Bingyu Zhao
Wolters,Maria K Wolters,"School of Informatics, University of Edinburgh, Edinburgh, UK","\item Maria K Wolters, School of Informatics, University of Edinburgh, Edinburgh, UK",bz247,"Creating synthetic features with PCA, please use answers submitted by Bingyu Zhao","Using prior expertise, Reading study documentation, please use answers submitted by Bingyu Zhao",Please use answers submitted by Bingyu Zhao,please use answers submitted by Bingyu Zhao,
Woon,Wei Lee Woon,"Expedia Inc., 333 108th AVE NE, Bellevue, WA, 98004, USA","\item Wei Lee Woon, Expedia Inc., 333 108th AVE NE, Bellevue, WA, 98004, USA",Anahit_Sargsyan,"Model-based imputation, Adding missingness indicators, Dropping low-variance features, kNN (k-Nearest Neighbors) imputation algorithm","Model-based feature selection (e.g. F-test or LASSO), Extra Trees Regressor algorithm, Randomized Lasso","Linear regression/OLS, Logistic regression/logit, Decision tree, Random forest","MSE performance in training set, MSE performance on leaderboard, Assessing groups/clusters of features",
Wu,James Wu,"New York University, 246 Greene Street, 3rd Floor, New York, NY 10003","\item James Wu, New York University, 246 Greene Street, 3rd Floor, New York, NY 10003",carnegien,"Mean/median/mode imputation, Imputation based on survey structure (e.g. skips), Dropping low-variance features",Model-based feature selection (e.g. F-test or LASSO),"Bayesian additive regression trees (BART), LASSO, Data-based hyperparameter selection (e.g. cross validation)",MSE performance on leaderboard,
Wu,Catherine Wu,"Department of Computer Science, Princeton University, Princeton, NJ 08544, USA.","\item Catherine Wu, Department of Computer Science, Princeton University, Princeton, NJ 08544, USA.",bleizman,"Mean/median/mode imputation, Variable standardization/rescaling, Constructing your own train/test split","Conducting a literature review, Mutual information, Model-based feature selection (e.g. F-test or LASSO)","Ridge regression, LASSO, Elastic net, Neural networks, K-Nearest Neighbors","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients",
Yang,kengran Yang,"Department of Civil and Environmental Engineering, Princeton University, Princeton, NJ 08544, USA","\item kengran Yang, Department of Civil and Environmental Engineering, Princeton University, Princeton, NJ 08544, USA",hty,Mean/median/mode imputation,Model-based feature selection (e.g. F-test or LASSO),"Random forest, Elastic net",MSE performance on leaderboard,
Yin,Jingwen Yin,Swiss Finance Institute & University of Lugano,"\item Jingwen Yin, Swiss Finance Institute & University of Lugano",aurora1994,Mean/median/mode imputation,Boruta: Wrapper Algorithm for All Relevant Feature Selection,"Random forest, Stochastic Gradient Boosting, Linear Discriminant Analysis",MSE performance in training set,
Zhao,Bingyu Zhao,"Department of Engineering, University of Cambridge, Cambridge, CB2 1PZ, UK","\item Bingyu Zhao, Department of Engineering, University of Cambridge, Cambridge, CB2 1PZ, UK",bz247,"Mean/median/mode imputation, Variable standardization/rescaling, Creating synthetic features with PCA, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features",Using constructed variables,"Linear regression/OLS, Logistic regression/logit",MSE performance on leaderboard,
Zhu,Chenyun Zhu,"Department of Statistics, Columbia University, New York, NY 10027, USA","\item Chenyun Zhu, Department of Statistics, Columbia University, New York, NY 10027, USA",aurora1994,"Mean/median/mode imputation, Adding missingness indicators, Constructing your own train/test split","Reading study documentation, Using constructed variables, Model-based feature selection (e.g. F-test or LASSO), Used Boruta package to select features","Linear regression/OLS, Random forest, Data-based hyperparameter selection (e.g. cross validation), Kernel methods (e.g. kernel ridge regression or support vector machines)","MSE performance in training set, MSE performance on leaderboard",
x,Alex Pentland,MIT,x,Pentlandians,"Model-based imputation, Functional form transformation (e.g. logging or top-coding), Adding missingness indicators, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features, Using multiple analytic datasets to generate predictions","Using prior expertise, Reading study documentation, Conducting a literature review, Using constructed variables, Leveraging time structure and repeated measures (e.g. lagged DVs), F-test, Mutual information, Model-based feature selection","Decision tree, Random forest, Gradient-boosted trees, Bayesian additive regression trees (BART), Ridge regression, LASSO, Elastic net, Data-based hyperparameter selection (e.g. cross validation), Manual hyperparameter setting, Kernel methods (e.g. kernel ridge regression or support vector machines)","MSE performance in training set, MSE performance on leaderboard",
x,Thomas Davidson,"Cornell University, Department of Sociology",x,tdavidson,"Mean/median/mode imputation, Variable standardization/rescaling, One-hot encoding, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features, Constructing your own train/test split",Model-based feature selection,"Linear regression/OLS, Logistic regression/logit, Random forest, Ridge regression, LASSO, Elastic net, Data-based hyperparameter selection (e.g. cross validation), Neural networks, Kernel methods (e.g. kernel ridge regression or support vector machines)","MSE performance in training set, MSE performance on leaderboard, Measures of variable importance (e.g. marginal effects)",
x,Jennie E. Brand,"Departments of Sociology and Statistics, UCLA",x,pups33,"Model-based imputation, Variable standardization/rescaling, Adding missingness indicators","Using prior expertise, Conducting a literature review, Model-based feature selection",Logistic regression/logit,"MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients, Assessing groups/clusters of features",
x,Abdullah Almaatouq,Massachusetts Institute of Technology,x,amaatouq,"Mean/median/mode imputation, Imputation based on survey structure (e.g. skips), Variable standardization/rescaling, One-hot encoding, Adding missingness indicators, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features, Constructing your own train/test split","Conducting a literature review, Using constructed variables, Mutual information","Random forest, Data-based hyperparameter selection (e.g. cross validation)","MSE performance on leaderboard, Measures of variable importance (e.g. marginal effects)",
x,Kivan Polimis,"Center for the Study of Demography and Ecology, University of Washington",x,FormidableFamily,"Mean/median/mode imputation, Model-based imputation, Imputation based on survey structure (e.g. skips), Constructing your own train/test split","Using prior expertise, Reading study documentation, Using constructed variables","Linear regression/OLS, Logistic regression/logit","MSE performance in training set, MSE performance on leaderboard",
x,Khaled Al-Ghoneim,Hawaz,x,KAG,"Mean/median/mode imputation, Imputation based on survey structure (e.g. skips), Variable standardization/rescaling, One-hot encoding, Adding missingness indicators, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features, Constructing your own train/test split","Reading study documentation, Conducting a literature review, Using constructed variables, Mutual information","Random forest, Data-based hyperparameter selection (e.g. cross validation), Ensembling","MSE performance in training set, Measures of variable importance (e.g. marginal effects), Weights based on out of bag performance of each random forest",
x,Antje Kirchner,RTI International,x,FormidableFamily,,,,,
x,Louis Raes,Tilburg University,x,LouisR,"Mean/median/mode imputation, Variable standardization/rescaling, One-hot encoding, Creating synthetic features with PCA, Dropping low-variance features, Using multiple analytic datasets to generate predictions, Constructing your own train/test split","Reading study documentation, Conducting a literature review, Using constructed variables","Gradient-boosted trees, Elastic net, Data-based hyperparameter selection (e.g. cross validation), Cubist, Mars","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients, Measures of variable importance (e.g. marginal effects)",
x,Daniel E Rigobon,"Department of Operations Research and Financial Engineering, Princeton University",x,drigobon,"Mean/median/mode imputation, One-hot encoding, Creating synthetic features with PCA, Adding missingness indicators, Dropping low-variance features","Using constructed variables, Mutual information, Sparse Linear Models","Linear regression/OLS, Random forest, LASSO, Kernel methods (e.g. kernel ridge regression or support vector machines)","MSE performance in training set, MSE performance on leaderboard",
x,"Alex ""Sandy"" Pentland",Massachusetts Institute of Technology,x,Pentlandians,,,Ensembling,MSE performance on leaderboard,
x,Drew M Altschul,"Mental Health Data Science Scotland, Department of Psychology, The University of Edinburgh, Edinburgh, UK, EH8 9JZ",x,dremalt,"Model-based imputation, Variable standardization/rescaling, Dropping low-variance features","Using prior expertise, Reading study documentation, Model-based feature selection","Linear regression/OLS, Logistic regression/logit, Decision tree, Random forest, Gradient-boosted trees, Elastic net","MSE performance in training set, MSE performance on leaderboard","No, my approach was relatively simple and straight-forward."
x,Caitlin E. Ahearn,University of California _ Los Angeles,x,pups33,"Model-based imputation, Imputation based on survey structure (e.g. skips), Variable standardization/rescaling, Adding missingness indicators","Using prior expertise, Reading study documentation, Conducting a literature review, Using constructed variables, Leveraging time structure and repeated measures (e.g. lagged DVs)","Linear regression/OLS, Logistic regression/logit","MSE performance on leaderboard, Inspecting regression coefficients, Measures of variable importance (e.g. marginal effects)",
x,Nicole Bohme Carnegie,Montana State University,x,carnegien,"Mean/median/mode imputation, Imputation based on survey structure (e.g. skips), Adding missingness indicators, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features","Reading study documentation, Using constructed variables, Model-based feature selection","Bayesian additive regression trees (BART), Data-based hyperparameter selection (e.g. cross validation), Manual hyperparameter setting","MSE performance in training set, MSE performance on leaderboard",
x,Yoshihiko Suhara,Massachusetts Institute of Technology,x,sy,"Mean/median/mode imputation, One-hot encoding, Adding missingness indicators","Using prior expertise, Reading study documentation, Using constructed variables","Gradient-boosted trees, Ridge regression, Data-based hyperparameter selection (e.g. cross validation), Manual hyperparameter setting, Ensembling",MSE performance in training set,
x,Ryan James Compton,"University of California, Santa Cruz",x,rcompton,"Mean/median/mode imputation, Creating synthetic features with PCA, Dropping low-variance features, Constructing your own train/test split",Model-based feature selection,"Decision tree, Random forest, Gradient-boosted trees, Data-based hyperparameter selection (e.g. cross validation), Ensembling","MSE performance in training set, MSE performance on leaderboard",Oversampling to handle skewed distributions
x,Stephen McKay,University of Lincoln,x,the_Brit,"Imputation based on survey structure (e.g. skips), One-hot encoding, Functional form transformation (e.g. logging or top-coding), Inferring feature types (e.g. categorical or continuous), Dropping low-variance features","Using prior expertise, Reading study documentation, Using constructed variables, Leveraging time structure and repeated measures (e.g. lagged DVs)","Linear regression/OLS, Logistic regression/logit, Random forest","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients",
x,Allison C Morgan,"Department of Computer Science, University of Colorado, Boulder, CO 80309",x,amorgan,"Variable standardization/rescaling, Inferring feature types (e.g. categorical or continuous)",Using constructed variables,"Linear regression/OLS, Random forest, LASSO",MSE performance on leaderboard,
x,Ridhi Kashyap,University of Oxford,x,FormidableFamily,,,,,
x,Connor Gilroy,University of Washington,x,FormidableFamily,"Mean/median/mode imputation, Model-based imputation, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features, Using multiple analytic datasets to generate predictions","Using prior expertise, Reading study documentation, Conducting a literature review, Using constructed variables","Linear regression/OLS, Logistic regression/logit, Elastic net, Data-based hyperparameter selection (e.g. cross validation), Manual hyperparameter setting","MSE performance in training set, MSE performance on leaderboard",
x,Connor Gilroy,University of Washington,x,FormidableFamily,"Model-based imputation, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features",,Ridge regression,"MSE performance in training set, MSE performance on leaderboard",
x,Adaner Usmani,Harvard University,x,FormidableFamily,,,,,
x,Claudia V. Roberts,Princeton University,x,chicacvr,"Mean/median/mode imputation, Variable standardization/rescaling, Constructing your own train/test split","Using prior expertise, Reading study documentation, Conducting a literature review, F-test, Mutual information, Model-based feature selection","Linear regression/OLS, Decision tree, Ridge regression, LASSO, Elastic net, Data-based hyperparameter selection (e.g. cross validation)","MSE performance in training set, MSE performance on leaderboard, Inspecting regression coefficients",
x,Eaman Jahani,MIT,x,eaman,"Mean/median/mode imputation, Variable standardization/rescaling, One-hot encoding, Functional form transformation (e.g. logging or top-coding), Adding missingness indicators, Inferring feature types (e.g. categorical or continuous), Dropping low-variance features","Using prior expertise, Reading study documentation, Using constructed variables, Mutual information, Model-based feature selection","Random forest, LASSO, Elastic net, Data-based hyperparameter selection (e.g. cross validation), Ensembling","MSE performance in training set, MSE performance on leaderboard",multi task elastic net to use the correlation structure between DVs
x,Brian J. Goode,Virginia Tech,x,bjgoode,"Mean/median/mode imputation, Imputation based on survey structure (e.g. skips), Variable standardization/rescaling, One-hot encoding, Inferring feature types (e.g. categorical or continuous), Constructing your own train/test split","Using prior expertise, Reading study documentation, Using constructed variables","Linear regression/OLS, Logistic regression/logit, LASSO, Data-based hyperparameter selection (e.g. cross validation)",MSE performance in training set,
x,Debanjan Datta,Virginia Tech,x,bjgoode,"Model-based imputation, Imputation based on survey structure (e.g. skips), Constructing your own train/test split","Reading study documentation, Conducting a literature review, Using constructed variables, Model-based feature selection","LASSO, Data-based hyperparameter selection (e.g. cross validation)","MSE performance in training set, MSE performance on leaderboard",#NAME?
x,Anna Filippova,GitHub,x,FormidableFamily,"Inferring feature types (e.g. categorical or continuous), Logical imputation of caregiver properties based on other information in the survey",Using constructed variables,LASSO,"MSE performance in training set, MSE performance on leaderboard",
x,Erik H. Wang,"PhD Candidate, Department of Politics, Princeton University",x,haixiaow,"Mean/median/mode imputation, Model-based imputation, Imputation based on survey structure (e.g. skips), Dropping low-variance features",Model-based feature selection,LASSO,Inspecting regression coefficients,"We use LASSO as a preprocessing method in the following sense: After some very early stage of cleaning including dropping variables (documented in the paragraph below), we mean impute the remaining variables and perform LASSO. After this, we drop variables that have coefficients zero."
Mahajan,Mayank Mahajan,"Department of Computer Science, Princeton University, Princeton, NJ 08544, USA","\item Mayank Mahajan, Department of Computer Science, Princeton University, Princeton, NJ 08544, USA",kapoor,"Mean/median/mode imputation, Model-based imputation, Variable standardization/rescaling, Dropping low-variance features, Constructing your own train/test split","Using prior expertise, Conducting a literature review, Model-based feature selection (e.g. F-test or LASSO)","Linear regression/OLS, Logistic regression/logit, Gradient-boosted trees, Ridge regression, LASSO, Elastic net, Data-based hyperparameter selection (e.g. cross validation)","MSE performance in training set, MSE performance on leaderboard, Measures of variable importance (e.g. marginal effects)",
Argyle,Lisa P. Argyle,"Department of Political Science, Brigham Young University","\item Lisa P. Argyle, Department of Political Science, Brigham Young University",largyle,"Mean/median/mode imputation, Adding missingness indicators","Using prior expertise, Reading study documentation, Leveraging time structure and repeated measures (e.g. lagged DVs)",Linear regression/OLS,Inspecting regression coefficients,
